nlayer
  6
Vp(m/s)   Vs(m/s)   z+(m) <----- top boundary of the layers
4973.0    2810.0    0.0d3
5473.0    3092.0    0.8d3
5782.0    3267.0    1.8d3
6209.0    3508.0    2.8d3
6727.0	  3800.0    29.4d3
8200.0	  4633.0    54.2d3
