number of receivers:
	483
rx (m)		rz (m)
77018.406 	0	803.600 	88.82036 	39.88701 	1100
76868.144 	0	806.300 	88.81911 	39.88796 	1101
77053.632 	0	803.500 	88.82066 	39.88678 	1102
78514.983 	0	802.100 	88.83283 	39.87754 	1103
79973.605 	0	800.500 	88.84499 	39.86832 	1104
81290.524 	0	802.800 	88.85595 	39.85999 	1105
82274.824 	0	803.800 	88.86415 	39.85376 	1106
83371.446 	0	804.900 	88.87328 	39.84682 	1108
84521.021 	0	799.300 	88.88285 	39.83955 	1109
85576.170 	0	802.200 	88.89163 	39.83287 	1110
86326.345 	0	798.400 	88.89787 	39.82813 	1111
87215.714 	0	799.700 	88.90527 	39.82250 	1112
88149.330 	0	799.900 	88.91304 	39.81659 	1113
89149.450 	0	801.500 	88.92135 	39.81026 	1114
89971.640 	0	802.600 	88.92819 	39.80505 	1115
90884.462 	0	801.300 	88.93578 	39.79927 	1116
91830.818 	0	800.200 	88.94365 	39.79328 	1117
92542.013 	0	797.000 	88.94956 	39.78878 	1118
93429.703 	0	800.800 	88.95693 	39.78316 	1119
94531.231 	0	802.000 	88.96609 	39.77618 	1120
95246.395 	0	806.100 	88.97203 	39.77165 	1121
96070.852 	0	801.600 	88.97887 	39.76643 	1122
96980.866 	0	803.200 	88.98643 	39.76066 	1123
97831.670 	0	794.400 	88.99350 	39.75527 	1124
98806.570 	0	795.200 	89.00159 	39.74910 	1125
99941.722 	0	794.900 	89.01101 	39.74191 	1126
100664.659 	0	799.800 	89.01701 	39.73732 	1127
101621.466 	0	798.700 	89.02495 	39.73126 	1128
102433.431 	0	803.700 	89.03169 	39.72611 	1129
103362.619 	0	800.700 	89.03939 	39.72022 	1130
104220.702 	0	811.100 	89.04651 	39.71479 	1131
104979.636 	0	807.700 	89.05280 	39.70997 	1132
106054.181 	0	809.400 	89.06171 	39.70316 	1133
107000.970 	0	808.500 	89.06956 	39.69716 	1134
107879.434 	0	819.500 	89.07684 	39.69159 	1135
108665.744 	0	817.300 	89.08336 	39.68660 	1136
109578.412 	0	819.400 	89.09092 	39.68081 	1137
110129.513 	0	822.600 	89.09548 	39.67732 	1138
111383.155 	0	820.500 	89.10587 	39.66937 	1139
112305.826 	0	826.000 	89.11351 	39.66351 	1140
113040.977 	0	825.600 	89.11959 	39.65885 	1141
113755.198 	0	842.500 	89.12551 	39.65432 	1142
114864.618 	0	844.400 	89.13469 	39.64728 	1143
115746.944 	0	844.000 	89.14199 	39.64168 	1144
116565.428 	0	858.700 	89.14876 	39.63648 	1145
117623.833 	0	864.200 	89.15752 	39.62977 	1146
118381.935 	0	865.100 	89.16379 	39.62495 	1147
